Math,Science,Attendance,StudyHours,ExtraCurricular,Target
78,82,90,4.5,1,1
85,88,92,5.0,0,1
60,65,70,2.5,1,0
95,98,96,6.0,0,1
55,58,60,1.5,1,0
72,75,80,3.2,0,1
88,90,94,5.5,1,1
40,45,50,1.0,0,0
77,80,85,3.8,1,1
92,95,98,6.5,0,1
65,68,72,2.8,1,0
84,87,91,4.9,0,1
70,73,78,3.0,1,0
99,100,99,7.0,0,1
50,55,58,1.2,1,0
83,86,89,4.2,0,1
76,79,83,3.6,1,1
89,91,93,5.8,0,1
45,48,52,1.3,1,0
68,72,75,3.1,0,1
80,84,88,4.4,1,1
58,60,65,2.0,0,0
91,94,97,6.2,1,1
66,70,74,2.7,0,0
87,90,92,5.6,1,1
75,78,80,3.9,0,1
62,65,70,2.6,1,0
90,93,95,5.9,0,1
55,60,62,1.8,1,1
82,85,88,4.6,0,0
