feature1,feature2,feature3,label
1.2,0.8,1.0,0
1.1,0.7,1.2,0
1.3,0.9,1.1,0
1.0,0.6,1.0,0
1.4,0.8,1.3,0
1.2,0.7,1.1,0
1.1,0.9,1.0,0
1.3,0.8,1.2,0
1.2,0.6,1.1,0
1.0,0.7,1.0,0
1.5,0.9,1.3,0
1.4,0.8,1.2,0
1.3,0.7,1.1,0
1.2,0.9,1.0,0
1.1,0.8,1.2,0
1.0,0.6,1.1,0
1.2,0.7,1.0,0
1.3,0.8,1.2,0
1.4,0.9,1.3,0
1.1,0.7,1.1,0
1.2,0.8,1.0,0
1.3,0.9,1.2,0
1.1,0.6,1.1,0
1.2,0.7,1.0,0
1.4,0.8,1.3,0
1.3,0.9,1.2,0
1.2,0.7,1.1,0
1.1,0.8,1.0,0
1.0,0.6,1.2,0
1.3,0.8,1.1,0
3.5,3.2,3.8,1
3.8,3.5,3.9,1
4.0,3.7,4.2,1
3.7,3.4,3.6,1
4.2,3.8,4.3,1
3.9,3.6,4.0,1
4.1,3.9,4.4,1
3.6,3.3,3.7,1
4.3,4.0,4.5,1
3.8,3.5,3.9,1
10.0,10.0,10.0,0
-5.0,-4.5,-5.2,1
