Age,Math,Science,Attendance,StudyHours
18,78,82,90,4.5
19,85,88,92,5.0
20,60,65,70,2.5
21,95,98,96,6.0
22,55,58,60,1.5
23,72,75,80,3.2
24,88,90,94,5.5
25,40,45,50,1.0
26,77,80,85,3.8
27,92,95,98,6.5
28,65,68,72,2.8
29,84,87,91,4.9
30,70,73,78,3.0
31,99,100,99,7.0
32,50,55,58,1.2
33,83,86,89,4.2
34,76,79,83,3.6
35,89,91,93,5.8
36,45,48,52,1.3
37,0,10,15,0.5
38,110,105,108,8.0
39,68,72,75,3.1
40,80,84,88,4.4
41,NaN,90,92,5.2
42,87,NaN,95,5.6
43,75,78,NaN,3.9
44,66,70,74,2.7
45,91,94,97,6.2
46,58,60,65,2.0
47,120,130,140,9.0
